PPD_ID,Gene Symbol,Gene ID,Protein concentration,Unit,Method,Sample type,Reference,Highest reported plasma protein level,Unit,Sample type
HPRD_04774,APOL1,8542,1.2,ug/ml,Spectral counting,Plasma,21632744,1.2,ug/ml,Plasma
HPRD_04774,APOL1,8542,5.9,ug/ml,-,Plasma,20204147,,,
HPRD_06263,APOL2,23780,1.4,ug/ml,Spectral counting,Plasma,21632744,1.4,ug/ml,Plasma
HPRD_16237,APOL4,80832,16.4 ± 5.4,mg/dl,ELISA,Plasma,2507721,21.8,ug/ml,Plasma
HPRD_06068,APOM,55937,1.5,ug/ml,Spectral counting,Plasma,21632744,1.5,ug/ml,Plasma
HPRD_00100,APP,351,18,ng/ml,Spectral counting,Plasma,21632744,18,ng/ml,Plasma
HPRD_02437,AR,367,26,pg/ml,Immunoassay,Plasma,16038022,26,pg/ml,Plasma
HPRD_01947,ARG1,383,27.2 ± 12.9,ng/ml,ELISA,Serum,21039185,40,ng/ml,Serum
HPRD_03565,ARHGDIA,396,11,ng/ml,Spectral counting,Plasma,21632744,11,ng/ml,Plasma
HPRD_04162,ARHGDIB,397,10,ng/ml,Spectral counting,Plasma,21632744,10,ng/ml,Plasma
HPRD_10366,ARPC1B,10095,8.1,ng/ml,Spectral counting,Plasma,21632744,8.1,ng/ml,Plasma
HPRD_10367,ARPC2,10109,4.5,ng/ml,Spectral counting,Plasma,21632744,4.5,ng/ml,Plasma
HPRD_09175,ARPC3,10094,1.8,ng/ml,Spectral counting,Plasma,21632744,1.8,ng/ml,Plasma
HPRD_10368,ARPC4,10093,2.5,ng/ml,Spectral counting,Plasma,21632744,2.5,ng/ml,Plasma
HPRD_09264,ARPP19,10776,2.1,ng/ml,Spectral counting,Plasma,21632744,2.1,ng/ml,Plasma
HPRD_04363,ART3,419,30,ng/ml,Spectral counting,Plasma,21632744,30,ng/ml,Plasma
HPRD_00152,ASGR2,433,4.8,ng/ml,Spectral counting,Plasma,21632744,4.8,ng/ml,Plasma
HPRD_01948,ASL,435,5.9,ng/ml,Spectral counting,Plasma,21632744,5.9,ng/ml,Plasma
HPRD_04590,ASS1,445,2,ng/ml,Spectral counting,Plasma,21632744,2,ng/ml,Plasma
HPRD_03434,ATIC,471,6.1,ng/ml,Spectral counting,Plasma,21632744,6.1,ng/ml,Plasma
HPRD_01258,ATP5A1,498,2.5,ng/ml,Spectral counting,Plasma,21632744,2.5,ng/ml,Plasma
HPRD_00044,ATP5B,506,6.2,ng/ml,Spectral counting,Plasma,21632744,6.2,ng/ml,Plasma
HPRD_02899,ATP5O,539,1.7,ng/ml,Spectral counting,Plasma,21632744,1.7,ng/ml,Plasma
HPRD_04388,ATRN,8455,660,ng/ml,Spectral counting,Plasma,21632744,660,ng/ml,Plasma
HPRD_09816,AVIL,10677,2.6,ng/ml,Spectral counting,Plasma,21632744,5.8,ng/ml,Plasma
HPRD_00171,AXL,558,2.5,ng/ml,Spectral counting,Plasma,21632744,2.5,ng/ml,Plasma
HPRD_01910,AZGP1,563,31,ug/ml,Spectral counting,Plasma,21632744,91.521,ug/ml,Plasma
HPRD_01910,AZGP1,563,91.521,ug/ml,Multiple reaction monitoring,Plasma,22577024,,,
HPRD_01910,AZGP1,563,27.4±8.3,mg/L,ELISA,Plasma,18078816,,,
HPRD_01910,AZGP1,563,80,ug/ml,-,Plasma,15627965,,,
HPRD_01910,AZGP1,563,80,ug/ml,-,Plasma,20677825,,,
HPRD_01910,AZGP1,563,85,ug/ml,-,Plasma,12938928,,,
HPRD_00189,B2M,567,7.5,ug/ml,Spectral counting,Plasma,21632744,1.79,ug/ml,Serum
HPRD_00189,B2M,567,686,ng/ml,Multiple reaction monitoring,Plasma,23592487,7.5,ug/ml,Plasma
HPRD_00189,B2M,567,1.1,ug/ml,Immunoassay,Plasma,16038022,,,
HPRD_00189,B2M,567,1.23±0.56,mg/l,ELISA,Serum,12574959,,,
HPRD_00189,B2M,567,16,ug/ml,-,Plasma,15627965,,,
HPRD_00189,B2M,567,1.1,ug/ml,-,Plasma,19572557,,,
HPRD_00189,B2M,567,1.1,ug/ml,-,Plasma,20677825,,,
HPRD_00189,B2M,567,2.1,ug/ml,-,Plasma,19690635,,,
HPRD_00189,B2M,567,2.2,ug/ml,-,Plasma,12938928,,,
HPRD_09270,B3GNT1,11041,3.3,ng/ml,Spectral counting,Plasma,21632744,3.3,ng/ml,Plasma
HPRD_09279,B3GNT2,10678,5.8,ng/ml,Spectral counting,Plasma,21632744,6.6,ng/ml,Plasma
HPRD_08389,BASP1,10409,7.3,ng/ml,Spectral counting,Plasma,21632744,7.3,ng/ml,Plasma
HPRD_02644,BCAN,63827,1.9,ng/ml,Spectral counting,Plasma,21632744,1.9,ng/ml,Plasma
HPRD_01519,BCHE,590,170,ng/ml,Spectral counting,Plasma,21632744,170,ng/ml,Plasma
HPRD_01519,BCHE,590,11-Aug,ug/ml,Single radial immunodiffusion,Serum,4172868,11,ug/ml,Serum
HPRD_01045,BCL2,596,8.08±1.92,U/ml,ELISA,Serum,10505741,8.08±1.92,U/ml,Serum
HPRD_04344,BDH1,622,130,ng/ml,-,Plasma,15611012,130,ng/ml,Plasma
HPRD_00214,BDNF,627,300,pg/ml,Immunoassay,Plasma,16038022,300,pg/ml,Plasma
HPRD_00214,BDNF,627,24,ng/ml,-,Plasma,19690635,,,
HPRD_04200,BHMT,635,36,ng/ml,Spectral counting,Plasma,21632744,36,ng/ml,Plasma
HPRD_05805,BIN2,51411,6.2,ng/ml,Spectral counting,Plasma,21632744,6.2,ng/ml,Plasma
HPRD_04520,BIRC5,332,120,pg/ml,-,Plasma,19690635,120,pg/ml,Plasma
HPRD_03870,BLMH,642,3.3,ng/ml,Spectral counting,Plasma,21632744,3.3,ng/ml,Plasma
HPRD_02967,BLVRB,645,140,ng/ml,Spectral counting,Plasma,21632744,140,ng/ml,Plasma
HPRD_00209,BMP1,649,17,ng/ml,Spectral counting,Plasma,21632744,17,ng/ml,Plasma
HPRD_01961,BPGM,669,9.8,ng/ml,Spectral counting,Plasma,21632744,9.8,ng/ml,Plasma
HPRD_12740,BPIFB1,92747,3.3,ng/ml,Spectral counting,Plasma,21632744,3.3,ng/ml,Plasma
HPRD_10690,BPIFB2,80341,3,ng/ml,Spectral counting,Plasma,21632744,3,ng/ml,Plasma
HPRD_06848,BRD1,23774,18,ng/ml,Spectral counting,Plasma,21632744,18,ng/ml,Plasma
HPRD_12533,BRSK1,84446,23,ng/ml,Spectral counting,Plasma,21632744,23,ng/ml,Plasma
HPRD_02665,BST1,683,20,ng/ml,Spectral counting,Plasma,21632744,20,ng/ml,Plasma
HPRD_08359,BTD,686,490,ng/ml,Spectral counting,Plasma,21632744,490,ng/ml,Plasma
HPRD_03966,BTF3,689,5.8,ng/ml,Spectral counting,Plasma,21632744,5.8,ng/ml,Plasma
HPRD_02248,BTK,695,1.1,ng/ml,Spectral counting,Plasma,21632744,1.1,ng/ml,Plasma
HPRD_11353,C16orf89,146556,1.4,ng/ml,Spectral counting,Plasma,21632744,1.4,ng/ml,Plasma
HPRD_08415,C19orf10,56005,7.6,ng/ml,Spectral counting,Plasma,21632744,7.6,ng/ml,Plasma
HPRD_14245,C19orf80,55908,4.6,ng/ml,Spectral counting,Plasma,21632744,4.6,ng/ml,Plasma
HPRD_00393,C1QA,712,1.2,ug/ml,Spectral counting,Plasma,21632744,1.2,ug/ml,Plasma
HPRD_00394,C1QB,713,930,ng/ml,Spectral counting,Plasma,21632744,930,ng/ml,Plasma
HPRD_00395,C1QC,714,910,ng/ml,Spectral counting,Plasma,21632744,910,ng/ml,Plasma
HPRD_01954,C1R,715,4.3,ug/ml,Spectral counting,Plasma,21632744,4.3,ug/ml,Plasma
HPRD_01954,C1R,715,30,ug/ml,-,Plasma,12938928,,,
HPRD_01954,C1R,715,50,ug/ml,-,Plasma,14961748,,,
HPRD_01954,C1R,715,100,ug/ml,-,Plasma,15627965,,,
HPRD_01954,C1R,715,100,ug/ml,-,Plasma,20677825,,,
HPRD_07093,C1RL,51279,260,ng/ml,Spectral counting,Plasma,21632744,6.4,ug/ml,Serum
HPRD_07093,C1RL,51279,5.5±0.9,µg/ml,ELISA,Serum,15527420,,,
HPRD_00397,C1S,716,5.2,ug/ml,Spectral counting,Plasma,21632744,5.2,ug/ml,Plasma
HPRD_00397,C1S,716,30,ug/ml,-,Plasma,12938928,,,
HPRD_00397,C1S,716,30,ug/ml,-,Plasma,15627965,,,
HPRD_00397,C1S,716,50,ug/ml,-,Plasma,12938928,,,
HPRD_00397,C1S,716,50,ug/ml,-,Plasma,20677825,,,
HPRD_08939,C2,717,35,ug/ml,Spectral counting,Plasma,21632744,35,ug/ml,Plasma
HPRD_08939,C2,717,24.2± 4.7,ug/ml,ELISA,Serum,3623635,29,ug/ml,Serum
HPRD_08939,C2,717,20,ug/ml,-,Plasma,12938928,,,
HPRD_08939,C2,717,20,ug/ml,-,Plasma,15627965,,,
HPRD_08939,C2,717,20,ug/ml,-,Plasma,20677825,,,
HPRD_08939,C2,717,24,ug/ml,-,Serum,20204147,,,
HPRD_08939,C2,717,30-Oct,ug/ml,-,Plasma,14961748,,,
HPRD_00400,C3,718,260,ug/ml,Spectral counting,Plasma,21632744,2.644,mg/ml,Blood
HPRD_00400,C3,718,101.9±17.4,mg/dl,nephelometry,Plasma,15547024,1.73,mg/ml,Plasma
HPRD_00400,C3,718,667.7,ug/ml,Multiple reaction monitoring,Plasma,23245390,,,
HPRD_00400,C3,718,1500,ug/ml,Multiple reaction monitoring,Plasma,22577024,,,
HPRD_00400,C3,718,1671.43,ug/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_00400,C3,718,1730,ug/ml,Multiple reaction monitoring,Plasma,22547352,,,
HPRD_00400,C3,718,2644.07,ug/ml,Multiple reaction monitoring,Blood,23221968,,,
HPRD_00400,C3,718,950,ug/ml,Immunoassay,Plasma,16038022,,,
HPRD_00400,C3,718,950,ug/ml,-,Plasma,19572557,,,
HPRD_00400,C3,718,950,ug/ml,-,Plasma,20677825,,,
HPRD_00400,C3,718,1300,ug/ml,-,Plasma,15611012,,,
HPRD_00400,C3,718,1300,ug/ml,-,Plasma,20204147,,,
HPRD_00400,C3,718,1500,ug/ml,-,Plasma,12938928,,,
HPRD_00400,C3,718,1500,ug/ml,-,Plasma,15627965,,,
HPRD_00400,C3,718,600-1300,ug/ml,-,Serum,18760981,,,
HPRD_00401,C4A,720,62.97,ug/ml,Multiple reaction monitoring,Blood,23221968,62.97,ug/ml,Blood
HPRD_00401,C4A,720,170,ug/ml,Immunoassay,Plasma,16038022,550,ug/ml,Serum
HPRD_00401,C4A,720,170,ug/ml,-,Plasma,19572557,170,ug/ml,Plasma
HPRD_00401,C4A,720,270,ug/ml,-,Plasma,20204147,,,
HPRD_00401,C4A,720,315,ug/ml,-,Plasma,15627965,,,
HPRD_00401,C4A,720,315,ug/ml,-,Plasma,20677825,,,
HPRD_00401,C4A,720,400,ug/ml,-,Plasma,12938928,,,
HPRD_00401,C4A,720,200-550,ug/ml,-,Serum,18760981,,,
HPRD_00402,C4B,721,90,ug/ml,Spectral counting,Plasma,21632744,104,ug/ml,Plasma
HPRD_00402,C4B,721,104,ug/ml,Multiple reaction monitoring,Plasma,23245390,129.74,ug/ml,Blood
HPRD_00402,C4B,721,129.74,ug/ml,Multiple reaction monitoring,Blood,23221968,,,
HPRD_00403,C4BPA,722,11,ug/ml,Spectral counting,Plasma,21632744,11,ug/ml,Plasma
HPRD_00403,C4BPA,722,200-530,ug/ml,Single radial immunodiffusion,Serum,14629629,530,ug/ml,Serum
HPRD_00404,C4BPB,725,530,ng/ml,Spectral counting,Plasma,21632744,530,ng/ml,Plasma
HPRD_00404,C4BPB,725,200-530,ug/ml,Single radial immunodiffusion,Serum,14629629,530,ug/ml,Serum
HPRD_00405,C5,727,70,ug/ml,-,Plasma,12938928,150,ug/ml,Plasma
HPRD_00405,C5,727,95,ug/ml,-,Plasma,15627965,,,
HPRD_00405,C5,727,95,ug/ml,-,Plasma,20677825,,,
HPRD_00405,C5,727,40-150,ug/ml,-,Plasma,14961748,,,
HPRD_01956,C6,729,3.7,ug/ml,Spectral counting,Plasma,21632744,3.7,ug/ml,Plasma
HPRD_01956,C6,729,40,ug/ml,-,Plasma,15627965,,,
HPRD_01956,C6,729,40,ug/ml,-,Plasma,20677825,,,
HPRD_01956,C6,729,60,ug/ml,-,Plasma,12938928,,,
HPRD_01957,C7,730,2.6,ug/ml,Spectral counting,Plasma,21632744,2.6,ug/ml,Plasma
HPRD_01957,C7,730,52,ug/ml,-,Plasma,19690635,,,
HPRD_01957,C7,730,60,ug/ml,-,Plasma,12938928,,,
HPRD_01957,C7,730,60,ug/ml,-,Plasma,15627965,,,
HPRD_01957,C7,730,60,ug/ml,-,Plasma,20677825,,,
HPRD_00409,C8A,731,2.4,ug/ml,Spectral counting,Plasma,21632744,2.4,ug/ml,Plasma
HPRD_00409,C8A,731,70-90,ug/ml,-,Plasma,14961748,,,
HPRD_00410,C8B,732,2.8,ug/ml,Spectral counting,Plasma,21632744,2.8,ug/ml,Plasma
HPRD_00407,C8G,733,1.1,ug/ml,Spectral counting,Plasma,21632744,1.1,ug/ml,Plasma
HPRD_00408,C9,735,5.2,ug/ml,Spectral counting,Plasma,21632744,13.93,ug/ml,Plasma
HPRD_00408,C9,735,13.93,ug/ml,Multiple reaction monitoring,Plasma,23245390,33.6,ug/ml,Blood
HPRD_00408,C9,735,33.6,ug/ml,Multiple reaction monitoring,Blood,23221968,,,
HPRD_00408,C9,735,60,ug/ml,-,Plasma,12938928,,,
HPRD_00408,C9,735,60,ug/ml,-,Plasma,15627965,,,
HPRD_00408,C9,735,60,ug/ml,-,Plasma,20677825,,,
HPRD_12957,C9orf40,55071,6.2,ng/ml,Spectral counting,Plasma,21632744,6.2,ng/ml,Plasma
HPRD_00265,CA1,759,590,ng/ml,Spectral counting,Plasma,21632744,590,ng/ml,Plasma
HPRD_02023,CA2,760,42,ng/ml,Spectral counting,Plasma,21632744,42,ng/ml,Plasma
HPRD_00260,CA3,761,4.8,ng/ml,Spectral counting,Plasma,21632744,4.8,ng/ml,Plasma
HPRD_00245,CACNA2D1,781,15,ng/ml,Spectral counting,Plasma,21632744,15,ng/ml,Plasma
HPRD_09057,CACNB4,785,8.2,ng/ml,Spectral counting,Plasma,21632744,8.2,ng/ml,Plasma
HPRD_05746,CADM1,23705,32,ng/ml,Spectral counting,Plasma,21632744,32,ng/ml,Plasma
HPRD_00238,CALCA,796,190,pg/ml,Immunoassay,Plasma,16038022,190,pg/ml,Plasma
HPRD_00238,CALCA,796,12-Oct,pg/ml,Chemiluminescence Assay,Serum,14764755,12,pg/ml,Serum
HPRD_00238,CALCA,796,10,pg/ml,-,Plasma,19690635,,,
HPRD_11809,CALCRL,10203,0.19,ng/ml,Immunoassay,Plasma,16038022,190,pg/ml,Plasma
HPRD_00251,CALD1,800,10,ng/ml,Spectral counting,Plasma,21632744,10,ng/ml,Plasma
HPRD_05538,CALML5,51806,8.1,ng/ml,Spectral counting,Plasma,21632744,8.1,ng/ml,Plasma
HPRD_00169,CALR,811,100,ng/ml,Spectral counting,Plasma,21632744,100,ng/ml,Plasma
HPRD_09653,CAMK2D,817,1.5,ng/ml,Spectral counting,Plasma,21632744,1.5,ng/ml,Plasma
HPRD_02722,CAMP,820,370,ng/ml,Spectral counting,Plasma,21632744,370,ng/ml,Plasma
HPRD_09869,CAP1,10487,27,ng/ml,Spectral counting,Plasma,21632744,27,ng/ml,Plasma
HPRD_00253,CAPN1,823,3.1,ng/ml,Spectral counting,Plasma,21632744,3.1,ng/ml,Plasma
HPRD_00254,CAPN2,824,2,ng/ml,Spectral counting,Plasma,21632744,2,ng/ml,Plasma
HPRD_00240,CAPNS1,826,3.6,ng/ml,Spectral counting,Plasma,21632744,3.6,ng/ml,Plasma
HPRD_03347,CAPZA1,829,4.6,ng/ml,Spectral counting,Plasma,21632744,4.6,ng/ml,Plasma
HPRD_11872,CAPZB,832,20,ng/ml,Spectral counting,Plasma,21632744,20,ng/ml,Plasma
HPRD_08515,CARHSP1,23589,21,ng/ml,Spectral counting,Plasma,21632744,21,ng/ml,Plasma
HPRD_05788,CASP14,23581,1.9,ng/ml,Spectral counting,Plasma,21632744,1.9,ng/ml,Plasma
HPRD_00233,CAST,831,11,ng/ml,Spectral counting,Plasma,21632744,11,ng/ml,Plasma
HPRD_00282,CAT,847,220,ng/ml,Spectral counting,Plasma,21632744,220,ng/ml,Plasma
HPRD_01994,CBS,875,3.1,ng/ml,Spectral counting,Plasma,21632744,3.1,ng/ml,Plasma
HPRD_14278,CCDC126,90693,18,ng/ml,Spectral counting,Plasma,21632744,18,ng/ml,Plasma
HPRD_07705,CCDC25,55246,17,ng/ml,Spectral counting,Plasma,21632744,17,ng/ml,Plasma
HPRD_18548,CCDC58,131076,1.9,ng/ml,Spectral counting,Plasma,21632744,1.9,ng/ml,Plasma
HPRD_10508,CCDC80,151887,12,ng/ml,Spectral counting,Plasma,21632744,12,ng/ml,Plasma
HPRD_03231,CCL14,6358,340,ng/ml,Spectral counting,Plasma,21632744,340,ng/ml,Plasma
HPRD_03231,CCL14,6358,8.5,ng/ml,-,Plasma,19690635,74,ng/ml,Plasma
HPRD_03232,CCL15,6359,74,ng/ml,Spectral counting,Plasma,21632744,,,
HPRD_03233,CCL16,6360,270,ng/ml,Spectral counting,Plasma,21632744,270,ng/ml,Plasma
HPRD_03233,CCL16,6360,3.5-28,ng/ml,ELISA,Plasma,11470772,,,
HPRD_03233,CCL16,6360,11,ng/ml,-,Plasma,19690635,,,
HPRD_04784,CCL18,6362,30.9 ± 3.8,ng/ml,ELISA,Serum,14578205,,,
HPRD_04784,CCL18,6362,31,ng/ml,-,Plasma,19690635,34.7,ng/ml,Serum
HPRD_01149,CCL2,6347,0-4.05,ng/ml,Multiplex immunobead assay,Serum,17438101,144.5,ng/ml,Serum
HPRD_01149,CCL2,6347,61-342,pg/ml,Multiplex beadbased Luminex technology,Plasma,21300928,342,pg/ml,Plasma
HPRD_01149,CCL2,6347,157,pg/ml,Immunoassay,Plasma,12578870,,,
HPRD_01149,CCL2,6347,103.3 ± 41.2,ng/ml,ELISA,Serum,19844201,,,
HPRD_01149,CCL2,6347,387±173,pg/ml,ELISA,Serum,18760981,,,
HPRD_01149,CCL2,6347,22.3-47.1,pg/ml,Cytometric bead array,Serum,20032101,,,
HPRD_01149,CCL2,6347,160,pg/ml,-,Plasma,15611012,,,
HPRD_01149,CCL2,6347,180,pg/ml,-,Plasma,19690635,,,
HPRD_04113,CCL21,6366,18,ng/ml,Spectral counting,Plasma,21632744,31,ng/ml,Plasma
HPRD_04113,CCL21,6366,170,pg/ml,-,Plasma,19690635,18,ng/ml,Plasma
HPRD_03930,CCL23,6368,320,pg/ml,Immunoassay,Plasma,16038022,320,pg/ml,Plasma
HPRD_03930,CCL23,6368,94.1 ± 85.6,pg/ml,ELISA,Serum,20824279,179.7,pg/ml,Serum
HPRD_01751,CCL5,6352,37.2±2.7,ng/ml,ELISA,Plasma,15509902,,,
HPRD_01751,CCL5,6352,356-1843,pg/ml,Cytometric bead array,Serum,20032101,,,
HPRD_01751,CCL5,6352,37,ng/ml,-,Plasma,19690635,,,
HPRD_08969,CCT3,7203,4.5,ng/ml,Spectral counting,Plasma,21632744,4.5,ng/ml,Plasma
HPRD_05506,CCT4,10575,1.2,ng/ml,Spectral counting,Plasma,21632744,230,ng/ml,Plasma
HPRD_06896,CCT7,10574,1.7,ng/ml,Spectral counting,Plasma,21632744,1.2,ng/ml,Plasma
HPRD_10590,CD109,135228,19,ng/ml,Spectral counting,Plasma,21632744,19,ng/ml,Plasma
HPRD_01151,CD14,929,420,ng/ml,Spectral counting,Plasma,21632744,420,ng/ml,Plasma
HPRD_01151,CD14,929,1.9,ug/ml,-,Plasma,16335952,,,
HPRD_05708,CD163,9332,94,ng/ml,Spectral counting,Plasma,21632744,94,ng/ml,Plasma
HPRD_01222,CD177,57126,2.7,ng/ml,Spectral counting,Plasma,21632744,2.7,ng/ml,Plasma
HPRD_01723,CD27,939,1.6,ng/ml,Spectral counting,Plasma,21632744,1.6,ng/ml,Plasma
HPRD_05756,CD276,80381,1.5,ng/ml,Spectral counting,Plasma,21632744,1.5,ng/ml,Plasma
HPRD_00115,CD44,960,35,ng/ml,Spectral counting,Plasma,21632744,35,ng/ml,Plasma
HPRD_00115,CD44,960,33,ng/ml,-,Plasma,19690635,,,
HPRD_00115,CD44,960,220,ng/ml,-,Plasma,19690635,,,
HPRD_00406,CD46,4179,Oct-60,ng/ml,Sandwich ELISA,Serum,7547700,60,ng/ml,Serum
HPRD_00406,CD46,4179,35,ng/ml,-,Plasma,19690635,,,
HPRD_00117,CD59,966,910,ng/ml,Spectral counting,Plasma,21632744,910,ng/ml,Plasma
HPRD_00117,CD59,966,33-119,ng/ml,ELISA,Serum,14687727,,,
HPRD_03997,CD5L,922,5.6,ug/ml,Spectral counting,Plasma,21632744,5.6,ug/ml,Plasma
HPRD_00202,CD80,941,40-100,ng/ml,-,Plasma,14961748,100,ng/ml,Plasma
HPRD_00880,CD9,928,3.6,ng/ml,Spectral counting,Plasma,21632744,3.6,ng/ml,Plasma
HPRD_00396,CD93,22918,4.8,ng/ml,Spectral counting,Plasma,21632744,4.8,ng/ml,Plasma
HPRD_11744,CDA,978,14,ng/ml,Spectral counting,Plasma,21632744,14,ng/ml,Plasma
HPRD_04184,CDC5L,988,3.1,ng/ml,Spectral counting,Plasma,21632744,3.1,ng/ml,Plasma
HPRD_01885,CDH1,999,10,ng/ml,Spectral counting,Plasma,21632744,10,ng/ml,Plasma
HPRD_01885,CDH1,999,7,ug/ml,-,Plasma,19690635,,,
HPRD_03219,CDH13,1012,120,ng/ml,Spectral counting,Plasma,21632744,120,ng/ml,Plasma
HPRD_00226,CDH2,1000,73,ng/ml,Spectral counting,Plasma,21632744,73,ng/ml,Plasma
HPRD_03075,CDH5,1003,110,ng/ml,Spectral counting,Plasma,21632744,110,ng/ml,Plasma
HPRD_03075,CDH5,1003,30,ng/ml,Immunoassay,Plasma,16038022,,,
HPRD_03075,CDH5,1003,30,ng/ml,-,Plasma,16335952,,,
HPRD_03075,CDH5,1003,30,ng/ml,-,Plasma,19572557,,,
HPRD_03075,CDH5,1003,30,ng/ml,-,Plasma,20698492,,,
HPRD_15103,CDHR2,54825,2.9,ng/ml,Spectral counting,Plasma,21632744,2.9,ng/ml,Plasma
HPRD_06021,CDHR5,53841,4.4,ng/ml,Spectral counting,Plasma,21632744,4.4,ng/ml,Plasma
HPRD_03998,CDSN,1041,6.5,ng/ml,Spectral counting,Plasma,21632744,6.5,ng/ml,Plasma
HPRD_13627,CDV3,55573,2.3,ng/ml,Spectral counting,Plasma,21632744,2.3,ng/ml,Plasma
HPRD_00191,CEACAM1,634,500,pg/ml,Spectral counting,Plasma,21632744,300,ng/ml,Plasma
HPRD_00191,CEACAM1,634,300,ng/ml,Densitometry analysis,Plasma,16335952,500,ng/ml,Serum
HPRD_00191,CEACAM1,634,0·3 ± 0·2,ug/ml,Densitometry analysis,Serum,11012782,,,
HPRD_00191,CEACAM1,634,0·3 ± 0·2,ug/ml,Densitometry analysis,Serum,16335952,,,
HPRD_00274,CEACAM5,1048,1,ng/ml,-,Plasma,19690635,1,ng/ml,Plasma
HPRD_07630,CEACAM8,1088,4.7,ng/ml,Spectral counting,Plasma,21632744,4.7,ng/ml,Plasma
HPRD_10462,CECR1,51816,7.7,ng/ml,Spectral counting,Plasma,21632744,7.7,ng/ml,Plasma
HPRD_02582,CENPF,1063,2,ng/ml,Spectral counting,Plasma,21632744,2,ng/ml,Plasma
HPRD_00268,CES1,1066,46,ng/ml,Spectral counting,Plasma,21632744,46,ng/ml,Plasma
HPRD_00325,CETP,1071,19,ng/ml,Spectral counting,Plasma,21632744,3.03,ug/ml,Plasma
HPRD_00325,CETP,1071,840-3030 ,ng/ml,ELISA,Plasma,9665425,,,
HPRD_00325,CETP,1071,1.9,ug/ml,-,Plasma,15611012,,,
HPRD_00718,CFB,629,95.14,ug/ml,Multiple reaction monitoring,Blood,23221968,95.14,ug/ml,Blood
HPRD_00718,CFB,629,1260,ng/ml,Multiple reaction monitoring,Plasma,23245390,1.26,ug/ml,Plasma
HPRD_00718,CFB,629,200,ug/ml,-,Plasma,15627965,,,
HPRD_00718,CFB,629,250,ug/ml,-,Plasma,12938928,,,
HPRD_00718,CFB,629,250,ug/ml,-,Plasma,20677825,,,
HPRD_00718,CFB,629,280,ug/ml,-,Serum,20204147,,,
HPRD_00600,CFD,1675,2.9,ug/ml,Spectral counting,Plasma,21632744,28,ug/ml,Plasma
HPRD_00600,CFD,1675,1.8±0.4,ug/ml,Radioimmunoassay,Serum,6561229,2.2,ug/ml,Serum
HPRD_00600,CFD,1675,2.08±0.046 ,ug/ml,ELISA,Plasma,22003108,2.9,ug/ml,Plasma
HPRD_00600,CFD,1675,1,ug/ml,-,Plasma,12938928,,,
HPRD_00600,CFD,1675,1,ug/ml,-,Plasma,20677825,,,
HPRD_00600,CFD,1675,1.8,ug/ml,-,Serum,20204147,,,
HPRD_00600,CFD,1675,5,ug/ml,-,Plasma,15627965,,,
HPRD_00601,CFH,3075,57,ug/ml,Spectral counting,Plasma,21632744,123.66,ug/ml,Blood
HPRD_00601,CFH,3075,240-760,ug/ml,Single radial immunodiffusion,Serum,14629629,760,ug/ml,Serum
HPRD_00601,CFH,3075,443 ± 106,ug/ml,Radial Immunodiffusion,Serum,14629629,57,ug/ml,Plasma
HPRD_00601,CFH,3075,28.7,ug/ml,Multiple reaction monitoring,Plasma,23245390,,,
HPRD_00601,CFH,3075,123.66,ug/ml,Multiple reaction monitoring,Blood,23221968,,,
HPRD_00601,CFH,3075,40,ug/ml,Immunoblot,Plasma,1825108,,,
HPRD_00601,CFH,3075,35,ug/ml,-,serum,12543931,,,
HPRD_00601,CFH,3075,500,ug/ml,-,Plasma,12938928,,,
HPRD_00601,CFH,3075,500,ug/ml,-,Plasma,15627965,,,
HPRD_00601,CFH,3075,500,ug/ml,-,Plasma,20677825,,,
HPRD_00602,CFHR1,3078,57,ug/ml,Spectral counting,Plasma,21632744,57,ug/ml,Plasma
HPRD_02933,CFHR2,3080,57,ug/ml,Spectral counting,Plasma,21632744,57,ug/ml,Plasma
HPRD_05626,CFHR3,10878,140,ng/ml,Spectral counting,Plasma,21632744,140,ng/ml,Plasma
HPRD_05627,CFHR4,10877,59,ng/ml,Spectral counting,Plasma,21632744,59,ng/ml,Plasma
HPRD_06508,CFHR5,81494,11,ng/ml,Spectral counting,Plasma,21632744,11,ng/ml,Plasma
HPRD_01955,CFI,3426,5.7,ng/ml,Spectral counting,Plasma,21632744,5.7,ng/ml,Plasma
HPRD_01955,CFI,3426,64 ± 13,ug/ml,Radial Immunodiffusion,Serum,14629629,77,ug/ml,Serum
HPRD_01955,CFI,3426,35,ug/ml,-,Plasma,12938928,,,
HPRD_01955,CFI,3426,35,ug/ml,-,Plasma,15627965,,,
HPRD_01955,CFI,3426,35,ug/ml,-,Plasma,20677825,,,
HPRD_03261,CFL1,1072,140,ng/ml,Spectral counting,Plasma,21632744,140,ng/ml,Plasma
HPRD_02308,CFP,5199,330,ng/ml,Spectral counting,Plasma,21632744,330,ng/ml,Plasma
HPRD_02308,CFP,5199,15-41,ug/ml,Single radial immunodiffusion,Serum,14629629,,,
HPRD_02308,CFP,5199,20,ug/ml,-,Plasma,12938928,,,
HPRD_02308,CFP,5199,20,ug/ml,-,Plasma,20677825,330,ng/ml,Plasma
HPRD_02308,CFP,5199,25,ug/ml,-,Plasma,15627965,41,ug/ml,Serum
