PPD_ID,Gene Symbol,Gene ID,Protein concentration,Unit,Method,Sample type,Reference,Highest reported plasma protein level,Unit,Sample type
HPRD_00074,AFP,174,2,mg/ml,-,Plasma,12938928,,,
HPRD_00074,AFP,174,5,ng/ml,-,Plasma,15627965,,,
HPRD_00074,AFP,174,20,ng/ml,-,Plasma,19690635,,,
HPRD_00074,AFP,174,50,ng/ml,-,Serum,7517938,,,
HPRD_01949,AGA,175,9.6,ng/ml,Spectral counting,Plasma,21632744,9.6,ng/ml,Plasma
HPRD_02568,AGER,177,0.41±0.17,ng/ml,ELISA,Plasma,21576827,0.41±0.17,ng/ml,Plasma
HPRD_02568,AGER,177,1129.3 ± 80.1,pg/ml,ELISA,Plasma,22324318,,,
HPRD_10550,AGRN,375790,3.9,ng/ml,Spectral counting,Plasma,21632744,3.9,ng/ml,Plasma
HPRD_00106,AGT,183,11,ug/ml,Spectral counting,Plasma,21632744,47.6,ug/ml,Plasma
HPRD_00106,AGT,183,10.54,ug/ml,Multiple reaction monitoring,Plasma,22577024,60.63,ug/ml,Blood
HPRD_00106,AGT,183,47.6,ug/ml,Multiple reaction monitoring,Plasma,23245390,,,
HPRD_00106,AGT,183,60.63,ug/ml,Multiple reaction monitoring,Blood,23221968,,,
HPRD_00106,AGT,183,1,ng/ml,-,Plasma,16335952,,,
HPRD_00106,AGT,183,1.5,ug/ml,-,Serum,20204147,,,
HPRD_00106,AGT,183,45,ug/ml,-,Plasma,12938928,,,
HPRD_00106,AGT,183,45,ug/ml,-,Plasma,15627965,,,
HPRD_00106,AGT,183,45,ug/ml,-,Plasma,20677825,,,
HPRD_00106,AGT,183,1.5,ug/ml,-,Plasma,15611012,,,
HPRD_05048,AGXT,189,21,ng/ml,Spectral counting,Plasma,21632744,21,ng/ml,Plasma
HPRD_14684,AHNAK,79026,0.8,ng/ml,Spectral counting,Plasma,21632744,0.8,ng/ml,Plasma
HPRD_00727,AHSG,197,82,ug/ml,Spectral counting,Plasma,21632744,1000,ug/ml,Serum
HPRD_00727,AHSG,197,400-850,ug/ml,Single radial immunodiffusion,Serum,4172868,72.32,ug/ml,Blood
HPRD_00727,AHSG,197,619 ± 96,mg/L,Radial immunodiffusion,serum,21226708,,,
HPRD_00727,AHSG,197,72.32,ug/ml,Multiple reaction monitoring,Blood,23221968,,,
HPRD_00727,AHSG,197,0.829 ± 0.100,g/L,ELISA,serum,19681840,,,
HPRD_00727,AHSG,197,352.6 ± 55.3,ug/ml,ELISA,Serum,21053744,,,
HPRD_00727,AHSG,197,630-1000,ug/ml,ELISA,Serum,18775894,,,
HPRD_00727,AHSG,197,600,ug/ml,-,Plasma,12938928,,,
HPRD_00727,AHSG,197,600,ug/ml,-,Serum,20204147,,,
HPRD_00727,AHSG,197,610,ug/ml,-,Plasma,19690635,,,
HPRD_00727,AHSG,197,625,ug/ml,-,Plasma,15627965,,,
HPRD_00727,AHSG,197,630,ug/ml,-,Plasma,20677825,,,
HPRD_00727,AHSG,197,14-440,ug/ml,-,Plasma,18633113,,,
HPRD_00727,AHSG,197,810.89  ± 173.43,ug/ml,-,Serum,19931899,,,
HPRD_12052,AHSP,51327,250,ng/ml,Spectral counting,Plasma,21632744,250,ng/ml,Plasma
HPRD_02161,AIFM1,9131,1.4,ng/ml,Spectral counting,Plasma,21632744,1.4,ng/ml,Plasma
HPRD_00069,AKR1A1,10327,3.6,ng/ml,Spectral counting,Plasma,21632744,3.6,ng/ml,Plasma
HPRD_00071,AKR1B1,231,14,ng/ml,Spectral counting,Plasma,21632744,14,ng/ml,Plasma
HPRD_04911,AKR1C3,8644,2.1,ng/ml,Spectral counting,Plasma,21632744,2.1,ng/ml,Plasma
HPRD_04567,AKR7A2,8574,4.1,ng/ml,Spectral counting,Plasma,21632744,4.1,ng/ml,Plasma
HPRD_00504,ALAD,210,6.1,ng/ml,Spectral counting,Plasma,21632744,6.1,ng/ml,Plasma
HPRD_00062,ALB,213,1.6,mg/ml,Spectral counting,Plasma,21632744,76,mg/ml,Blood
HPRD_00062,ALB,213,39-55,mg/ml,Single radial immunodiffusion,Serum,4172868,55,mg/ml,Serum
HPRD_00062,ALB,213,33.3,mg/ml,Multiple reaction monitoring,Plasma,22547352,42,mg/ml,Plasma
HPRD_00062,ALB,213,36.38,mg/ml,Multiple reaction monitoring,Plasma,22577024,,,
HPRD_00062,ALB,213,42,mg/ml,Multiple reaction monitoring,Plasma,23245390,,,
HPRD_00062,ALB,213,76,mg/ml,Multiple reaction monitoring,Blood,23221968,,,
HPRD_00062,ALB,213,40,mg/ml,Immunoassay,Plasma,16038022,,,
HPRD_00062,ALB,213,40,mg/ml,-,Plasma,19572557,,,
HPRD_00062,ALB,213,40,mg/ml,-,Plasma,20677825,,,
HPRD_00062,ALB,213,41,mg/ml,-,Plasma,15611012,,,
HPRD_00062,ALB,213,41,mg/ml,-,Plasma,19690635,,,
HPRD_00062,ALB,213,45,mg/ml,-,Plasma,12938928,,,
HPRD_00062,ALB,213,45,mg/ml,-,Plasma,15627965,,,
HPRD_00062,ALB,213,35-50,mg/ml,-,serum,12543931,,,
HPRD_00062,ALB,213,35-50,mg/ml,-,Plasma,14961748,,,
HPRD_03389,ALCAM,214,57,ng/ml,Spectral counting,Plasma,21632744,57,ng/ml,Plasma
HPRD_03389,ALCAM,214,16,ng/ml,Immunoassay,Plasma,16038022,,,
HPRD_03389,ALCAM,214,16,ng/ml,-,Plasma,16335952,,,
HPRD_03389,ALCAM,214,16,ng/ml,-,Plasma,19572557,,,
HPRD_03389,ALCAM,214,16,ng/ml,-,Plasma,20698492,,,
HPRD_14394,ALDH16A1,126133,2.6,ng/ml,Spectral counting,Plasma,21632744,2.6,ng/ml,Plasma
HPRD_00001,ALDH1A1,216,120,ng/ml,Spectral counting,Plasma,21632744,120,ng/ml,Plasma
HPRD_00003,ALDH2,217,2.1,ng/ml,Spectral counting,Plasma,21632744,2.1,ng/ml,Plasma
HPRD_04109,ALDH9A1,223,2,ng/ml,Spectral counting,Plasma,21632744,2,ng/ml,Plasma
HPRD_00070,ALDOA,226,250,ng/ml,Spectral counting,Plasma,21632744,250,ng/ml,Plasma
HPRD_00070,ALDOA,226,130-210,ng/ml,Radioimmunoassay,Serum,6187427,210,ng/ml,Serum
HPRD_00070,ALDOA,226,170,ng/ml,-,Plasma,19690635,,,
HPRD_01972,ALDOB,229,240,ng/ml,Spectral counting,Plasma,21632744,240,ng/ml,Plasma
HPRD_01972,ALDOB,229,20-60,ng/ml,Radioimmuno assay,Serum,3191454,60,ng/ml,Serum
HPRD_01972,ALDOB,229,20,ng/ml,-,Plasma,19690635,,,
HPRD_02386,ALDOC,230,250,ng/ml,Spectral counting,Plasma,21632744,250,ng/ml,Plasma
HPRD_02386,ALDOC,230,4,ng/ml,-,Plasma,15611012,,,
HPRD_02386,ALDOC,230,20,ng/ml,-,Plasma,19690635,,,
HPRD_01377,ALPL,249,41,ng/ml,-,Plasma,19690635,41,ng/ml,Plasma
HPRD_01467,AMBP,259,48,ug/ml,Spectral counting,Plasma,21632744,48,ug/ml,Plasma
HPRD_01467,AMBP,259,25-83,ug/ml,single radial immunodiffusion,Serum,6159369,83,ug/ml,Serum
HPRD_01467,AMBP,259,25,ug/ml,-,Plasma,15627965,,,
HPRD_01467,AMBP,259,25,ug/ml,-,Plasma,20677825,,,
HPRD_01467,AMBP,259,44,ug/ml,-,Serum,20204147,,,
HPRD_01467,AMBP,259,60,ug/ml,-,Plasma,12938928,,,
HPRD_00105,ANG,283,280,ng/ml,Spectral counting,Plasma,21632744,280,ng/ml,Plasma
HPRD_00105,ANG,283,29-1835,ng/ml,ELISA,Serum,15182336,1835,ng/ml,Serum
HPRD_00105,ANG,283,327.5-506.96,ng/ml,ELISA,Serum,21539846,,,
HPRD_00105,ANG,283,400,ng/ml,-,Plasma,19690635,,,
HPRD_03392,ANGPT1,284,1.045-7.422,ng/ml,ELISA,Plasma,20615083,47.71,ng/ml,Serum
